epoch,error_train,error_val
0,0.5591290608460081,0.5651778908367773
1,0.3718038963934925,0.37735287115677396
2,0.3466151781105497,0.35083463358915756
3,0.3031526200727682,0.30510965922644173
4,0.24679933747527544,0.2593964539566346
5,0.251423617371893,0.2585454167641707
6,0.20948443202747766,0.21467593019457523
7,0.2588993622135738,0.26877858050899245
8,0.23089954044773692,0.23593798183599937
9,0.26686105086446876,0.2672444600780036
10,0.2468351895437309,0.25235770173779676
11,0.19554836516621446,0.2106203891027326
12,0.20340295105318149,0.21052731583777745
13,0.1603015450657164,0.16636815434394672
